number_of_items,total_price,total_freight,number_of_payments,total_payment_value,purchase_hour,purchase_weekday,purchase_month,estimated_delivery_days,customer_state,distance_km
3.0,134.97,8.49,,,12,Thursday,2016-09,18.488449074074072,SP,565.9598124931007
1.0,29.9,15.56,1.0,45.46,9,Monday,2016-10,23.59386574074074,SP,708.7542472142537
1.0,21.9,17.19,1.0,39.09,16,Monday,2016-10,34.29386574074074,RS,915.9124117987134
1.0,21.5,14.11,1.0,35.61,21,Monday,2016-10,52.123831018518516,RJ,357.5745921152744
1.0,36.49,17.24,1.0,53.73,21,Monday,2016-10,56.11555555555555,RS,818.1465042121205
1.0,119.9,13.56,1.0,133.46,22,Monday,2016-10,50.07913194444444,SP,212.01486522773087
1.0,29.99,10.96,1.0,40.95,22,Monday,2016-10,50.06144675925926,SP,194.28226655658148
1.0,128.9,25.67,1.0,154.57,22,Monday,2016-10,58.05266203703704,GO,975.8012858864055
1.0,74.9,17.37,1.0,92.27,22,Monday,2016-10,52.04756944444444,MG,699.9222424467289
1.0,49.99,15.51,1.0,65.5,9,Tuesday,2016-10,50.62071759259259,SP,129.8919792301422
1.0,32.49,11.74,1.0,44.23,9,Tuesday,2016-10,50.613506944444445,SP,304.66266609184237
1.0,89.9,24.87,1.0,114.77,9,Tuesday,2016-10,50.58399305555555,SP,13.222515201327898
1.0,189.0,48.45,1.0,237.45,10,Tuesday,2016-10,64.57217592592593,PA,2464.6060418486177
1.0,199.0,15.98,1.0,214.98,10,Tuesday,2016-10,54.554664351851855,SC,816.8691990305572
1.0,148.0,30.11,1.0,178.11,11,Tuesday,2016-10,64.5394212962963,RN,2643.167373685159
1.0,299.99,19.01,1.0,319.0,12,Tuesday,2016-10,50.49570601851852,MG,3.3836038172263936
1.0,9.9,8.72,1.0,18.62,12,Tuesday,2016-10,50.46299768518519,SP,4.876375509946922
2.0,47.8,53.64,1.0,101.44,13,Tuesday,2016-10,62.4503587962963,MT,1043.879803692
1.0,249.9,17.59,1.0,267.49,13,Tuesday,2016-10,54.44738425925926,MG,302.97332206300223
1.0,128.9,16.04,1.0,144.94,13,Tuesday,2016-10,50.44731481481482,SP,115.84230345096505
1.0,149.9,27.38,1.0,177.28,13,Tuesday,2016-10,64.4465625,PE,1867.5104458020378
1.0,67.9,18.98,7.0,86.88,13,Tuesday,2016-10,54.44240740740741,RJ,674.9130018659192
1.0,99.9,19.53,1.0,119.43,13,Tuesday,2016-10,58.437349537037036,ES,981.1874356578237
1.0,89.9,17.51,1.0,107.41,13,Tuesday,2016-10,54.43005787037037,RJ,365.05829087375906
1.0,379.9,18.22,1.0,398.12,13,Tuesday,2016-10,54.42699074074074,MG,562.5260009186261
1.0,93.9,17.61,1.0,111.51,14,Tuesday,2016-10,56.40738425925926,RJ,988.3072021444489
1.0,39.99,22.34,1.0,62.33,14,Tuesday,2016-10,76.40011574074074,RS,1000.580739873045
1.0,249.9,17.59,1.0,267.49,14,Tuesday,2016-10,54.385729166666664,SP,336.61387829195957
1.0,249.9,14.03,1.0,263.93,14,Tuesday,2016-10,50.38248842592593,RJ,49.27713662866553
2.0,119.8,29.74,1.0,149.54,15,Tuesday,2016-10,54.37299768518518,SC,142.12065817245852
1.0,249.9,27.91,1.0,277.81,15,Tuesday,2016-10,64.36989583333333,CE,2151.9241459907335
1.0,89.9,27.96,1.0,117.86,15,Tuesday,2016-10,50.36788194444444,SP,15.251309428322315
1.0,69.99,17.58,1.0,87.57,15,Tuesday,2016-10,72.36645833333333,SP,125.56942755879156
1.0,136.9,17.39,1.0,154.29,15,Tuesday,2016-10,56.35028935185185,MG,1119.3754072515123
1.0,109.9,11.23,1.0,121.13,15,Tuesday,2016-10,50.34393518518519,SP,6.496219283422774
1.0,89.0,32.01,1.0,121.01,16,Tuesday,2016-10,68.33173611111111,PA,2876.5292708695406
1.0,49.9,11.74,1.0,61.64,16,Tuesday,2016-10,50.32952546296296,SP,311.2208766201639
1.0,59.9,14.86,1.0,74.76,16,Tuesday,2016-10,50.32717592592593,SP,380.45285638789596
1.0,59.9,14.86,1.0,74.76,16,Tuesday,2016-10,50.305474537037036,SP,244.4742790418576
2.0,129.8,33.4,1.0,163.2,16,Tuesday,2016-10,54.30417824074074,RJ,333.30053140652484
1.0,57.0,8.77,1.0,65.77,17,Tuesday,2016-10,50.28565972222222,SP,14.669625780284813
1.0,139.9,21.34,2.0,161.24,17,Tuesday,2016-10,54.27420138888889,SP,263.6817175332459
1.0,149.99,23.41,1.0,173.4,18,Tuesday,2016-10,56.24818287037037,MG,493.22181491391984
1.0,99.9,16.27,1.0,116.17,18,Tuesday,2016-10,54.24486111111111,SP,349.1036893818815
1.0,86.99,28.23,1.0,115.22,18,Tuesday,2016-10,50.213240740740744,SP,23.537130390888066
1.0,57.9,14.61,1.0,72.51,19,Tuesday,2016-10,54.20748842592592,RJ,364.09336324003556
1.0,949.99,29.92,1.0,979.91,19,Tuesday,2016-10,54.19063657407408,RJ,347.74181988171324
1.0,19.99,20.8,1.0,40.79,19,Tuesday,2016-10,62.18717592592593,BA,1070.7984629713321
1.0,949.99,32.42,1.0,982.41,19,Tuesday,2016-10,56.17925925925926,RS,903.8864049639326
1.0,149.9,19.33,1.0,169.23,20,Tuesday,2016-10,54.13755787037037,SP,486.54567009683205
1.0,199.99,17.31,1.0,217.3,21,Tuesday,2016-10,54.10726851851852,MG,692.392194442848
1.0,69.9,19.48,1.0,89.38,21,Tuesday,2016-10,56.10237268518519,MG,782.4304211891174
1.0,399.0,48.49,1.0,447.49,21,Tuesday,2016-10,54.10006944444444,RJ,374.24286298289377
1.0,71.0,11.69,1.0,82.69,21,Tuesday,2016-10,50.08689814814815,SP,295.785328003415
2.0,119.8,29.66,1.0,149.46,22,Tuesday,2016-10,54.08071759259259,RJ,384.71571267711846
1.0,49.9,15.56,1.0,65.46,22,Tuesday,2016-10,50.07278935185185,SP,370.86016781330864
2.0,79.8,29.04,1.0,108.84,22,Tuesday,2016-10,62.05990740740741,PR,381.3473274069929
1.0,19.9,14.52,1.0,34.42,22,Tuesday,2016-10,54.05309027777778,MG,530.5152896601859
2.0,299.8,38.66,1.0,338.46,23,Tuesday,2016-10,54.03601851851852,SP,390.8924170596328
1.0,49.9,16.78,1.0,66.68,23,Tuesday,2016-10,56.023020833333334,PR,825.7081100669691
1.0,179.9,16.37,1.0,196.27,23,Tuesday,2016-10,50.01457175925926,SP,84.08053794549649
1.0,44.9,15.7,1.0,60.6,23,Tuesday,2016-10,54.009791666666665,MG,361.7434472208645
4.0,319.6,63.64,1.0,383.24,23,Tuesday,2016-10,54.00068287037037,PR,459.1522449714868
1.0,24.9,10.96,1.0,35.86,0,Wednesday,2016-10,50.977418981481485,SP,298.1323243738587
1.0,75.0,20.58,1.0,95.58,7,Wednesday,2016-10,62.68623842592593,PE,1638.8196865614188
1.0,43.89,14.52,1.0,58.41,8,Wednesday,2016-10,54.66542824074074,PR,454.8765902601596
1.0,59.9,11.31,3.0,71.21000000000001,8,Wednesday,2016-10,50.663645833333334,PR,9.279278556491128
1.0,119.99,14.81,1.0,134.8,8,Wednesday,2016-10,54.63798611111111,MG,341.7142251581629
1.0,89.9,23.27,1.0,113.17,8,Wednesday,2016-10,56.63408564814815,RS,942.8237092214134
1.0,30.97,14.52,1.0,45.49,9,Wednesday,2016-10,54.61127314814815,PR,564.8068536676291
1.0,629.9,34.03,1.0,663.93,9,Wednesday,2016-10,64.59255787037037,PA,1753.5624229030389
1.0,249.9,20.85,1.0,270.75,11,Wednesday,2016-10,60.54050925925926,GO,910.8433260303324
1.0,86.99,28.23,1.0,115.22,11,Wednesday,2016-10,50.537592592592596,SP,112.81322501607524
1.0,149.99,11.66,1.0,161.65,11,Wednesday,2016-10,50.535578703703706,SP,202.7249898990574
1.0,10.0,14.52,1.0,24.52,11,Wednesday,2016-10,54.51063657407408,RJ,403.50755370647045
1.0,59.9,11.3,2.0,71.2,12,Wednesday,2016-10,48.4771412037037,RJ,41.92425330449892
1.0,249.9,23.87,1.0,273.77,12,Wednesday,2016-10,62.476342592592594,PE,1842.1625314271098
6.0,467.4,157.8,1.0,625.2,12,Wednesday,2016-10,64.47108796296297,MA,2357.424249168613
1.0,169.9,14.97,1.0,184.87,12,Wednesday,2016-10,50.469340277777775,MG,5.68350983515023
2.0,79.8,29.04,1.0,108.84,13,Wednesday,2016-10,54.449502314814815,MG,189.5157148408766
1.0,329.99,12.7,1.0,342.69,14,Wednesday,2016-10,50.38837962962963,RJ,4.455568732978032
1.0,29.9,10.96,1.0,40.86,14,Wednesday,2016-10,50.38207175925926,SP,225.95809386536058
1.0,294.9,20.34,1.0,315.24,15,Wednesday,2016-10,54.36944444444445,SP,403.9291353356327
1.0,649.0,169.12,1.0,818.12,15,Wednesday,2016-10,64.36253472222222,PE,2143.038131289172
4.0,599.6,77.32,1.0,676.92,17,Wednesday,2016-10,54.28533564814815,SC,416.52488948079224
1.0,128.9,21.01,1.0,149.91,17,Wednesday,2016-10,54.28346064814815,MG,509.40205789595757
1.0,49.99,10.96,1.0,60.95,17,Wednesday,2016-10,50.28163194444444,SP,185.7182911711376
1.0,128.9,23.22,1.0,152.12,17,Wednesday,2016-10,56.2803587962963,RS,700.6216480904453
5.0,96.91,65.48,1.0,162.39,19,Wednesday,2016-10,54.201701388888885,SP,320.1219507305853
1.0,629.9,31.85,1.0,661.75,20,Wednesday,2016-10,64.1603587962963,CE,2820.924273282824
1.0,129.99,24.11,1.0,154.1,20,Wednesday,2016-10,54.152118055555555,RS,755.251690317704
1.0,19.9,14.52,1.0,34.42,20,Wednesday,2016-10,54.15209490740741,MG,446.0499536269208
1.0,30.97,14.52,1.0,45.49,20,Wednesday,2016-10,54.141215277777775,MG,569.1758716315045
1.0,54.9,14.73,1.0,69.63,21,Wednesday,2016-10,54.117407407407406,MG,517.7134723714906
1.0,248.0,18.11,1.0,266.11,22,Wednesday,2016-10,50.06620370370371,RS,369.900917881587
1.0,22.9,15.46,1.0,38.36,22,Wednesday,2016-10,50.05571759259259,SP,338.2981533364519
